iter	Passed	Remaining
0	16	16338
1	28	14296
2	37	12586
3	47	11784
4	58	11677
5	72	12025
6	83	11890
7	93	11621
8	104	11528
9	115	11476
10	124	11164
11	134	11054
12	143	10906
13	153	10823
14	162	10683
15	172	10589
16	182	10572
17	192	10486
18	205	10621
19	217	10650
20	227	10600
21	238	10616
22	249	10584
23	258	10521
24	269	10502
25	277	10412
26	287	10345
27	298	10375
28	309	10350
29	319	10345
30	330	10334
31	342	10368
32	355	10427
33	365	10374
34	376	10385
35	386	10337
36	395	10296
37	408	10349
38	418	10316
39	428	10290
40	439	10281
41	452	10327
42	464	10328
43	474	10314
44	484	10292
45	496	10299
46	508	10320
47	518	10289
48	530	10304
49	541	10280
50	552	10272
51	562	10246
52	573	10253
53	585	10257
54	596	10255
55	605	10204
56	615	10182
57	627	10196
58	641	10238
59	652	10216
60	664	10233
61	676	10241
62	687	10219
63	694	10153
64	706	10156
65	720	10193
66	731	10188
67	743	10194
68	755	10194
69	765	10173
70	776	10161
71	789	10170
72	800	10164
73	811	10160
74	824	10174
75	836	10173
76	849	10177
77	858	10153
78	869	10142
79	881	10136
80	891	10119
81	905	10131
82	920	10167
83	930	10151
84	940	10129
85	952	10121
86	963	10115
87	975	10106
88	987	10105
89	1000	10115
90	1012	10115
91	1024	10106
92	1035	10102
93	1047	10091
94	1057	10074
95	1068	10063
96	1079	10053
97	1091	10046
98	1101	10027
99	1113	10022
100	1124	10012
101	1135	9995
102	1146	9984
103	1157	9970
104	1167	9950
105	1178	9942
106	1190	9934
107	1200	9917
108	1212	9912
109	1225	9912
110	1236	9904
111	1248	9895
112	1258	9882
113	1269	9865
114	1280	9852
115	1291	9840
116	1303	9841
117	1314	9822
118	1325	9810
119	1334	9788
120	1347	9786
121	1357	9772
122	1366	9739
123	1377	9727
124	1388	9716
125	1398	9702
126	1413	9714
127	1424	9707
128	1436	9696
129	1447	9689
130	1459	9683
131	1470	9672
132	1483	9672
133	1495	9661
134	1505	9645
135	1516	9632
136	1526	9617
137	1538	9608
138	1549	9595
139	1558	9575
140	1571	9573
141	1583	9567
142	1595	9559
143	1606	9548
144	1616	9531
145	1627	9520
146	1638	9506
147	1655	9532
148	1666	9519
149	1680	9520
150	1690	9504
151	1702	9498
152	1716	9503
153	1726	9484
154	1744	9508
155	1762	9536
156	1781	9563
157	1791	9548
158	1814	9597
159	1830	9610
160	1841	9596
161	1853	9585
162	1865	9578
163	1875	9561
164	1888	9557
165	1901	9555
166	1912	9538
167	1922	9522
168	1933	9508
169	1944	9493
170	1956	9486
171	1965	9462
172	1977	9453
173	1995	9474
174	2009	9474
175	2021	9462
176	2034	9458
177	2047	9456
178	2061	9455
179	2072	9440
180	2084	9433
181	2096	9421
182	2106	9405
183	2117	9389
184	2128	9376
185	2137	9356
186	2148	9341
187	2159	9329
188	2170	9313
189	2182	9304
190	2194	9293
191	2205	9281
192	2217	9273
193	2230	9264
194	2249	9286
195	2261	9276
196	2271	9260
197	2283	9250
198	2306	9283
199	2320	9281
200	2330	9264
201	2352	9292
202	2368	9299
203	2376	9274
204	2393	9281
205	2419	9327
206	2434	9328
207	2443	9304
208	2455	9295
